,price,beds,accommodates,bedrooms,bathrooms,amenities_count,room_type,property_type,neighbourhood_cleansed,minimum_nights
92,149,1,2,1,1,15,Entire home/apt,Entire rental unit,SIXTH WARD,2
93,268,3,6,3,1,47,Entire home/apt,Entire home,NINTH WARD,2
94,819,7,12,5,2.5,39,Entire home/apt,Entire home,TENTH WARD,1
95,217,1,3,1,1,48,Entire home/apt,Entire rental unit,FOURTH WARD,1
96,154,2,4,1,1,47,Entire home/apt,Entire rental unit,SIXTH WARD,1
97,315,5,9,5,1.5,58,Entire home/apt,Entire vacation home,FOURTEENTH WARD,1
98,177,1,2,1,1,46,Entire home/apt,Entire rental unit,SIXTH WARD,1
99,269,2,5,2,2,48,Entire home/apt,Entire rental unit,FOURTH WARD,1
100,700.5,6,10,4,2,76,Entire home/apt,Entire cottage,FIFTEENTH WARD,1
102,146,1,2,1,1,44,Entire home/apt,Entire rental unit,TENTH WARD,1
103,183,3,4,2,1,41,Entire home/apt,Entire rental unit,SIXTH WARD,1
104,173,1,2,1,1,49,Entire home/apt,Entire rental unit,SIXTH WARD,1
106,143.67,2,6,2,1.5,49,Entire home/apt,Entire townhouse,NINTH WARD,3
107,136.67,1,3,1,1,42,Entire home/apt,Entire rental unit,TENTH WARD,3
108,95.17,2,2,1,1,42,Entire home/apt,Entire rental unit,NINTH WARD,5
109,107.69,1,2,1,1,35,Entire home/apt,Entire rental unit,SECOND WARD,13
110,124,1,2,1,1,75,Private room,Private room in home,THIRTEENTH WARD,1
111,177,1,2,1,1,51,Entire home/apt,Entire rental unit,SIXTH WARD,1
112,151.69,1,2,1,1,19,Entire home/apt,Entire rental unit,SECOND WARD,13
113,1701,4,12,4,3.5,61,Entire home/apt,Entire home,FOURTEENTH WARD,1
114,208,1,2,1,1,47,Entire home/apt,Entire rental unit,SECOND WARD,1
115,93.67,2,1,2,1,17,Private room,Private room in rental unit,THIRD WARD,3
117,1267,1,4,1,1,52,Entire home/apt,Entire rental unit,SECOND WARD,1
118,215.86,1,2,1,1,19,Entire home/apt,Entire rental unit,SECOND WARD,14
119,213.8,4,4,4,1,53,Entire home/apt,Entire home,FIRST WARD,5
120,175.51,3,4,4,1.5,59,Entire home/apt,Entire home,FIRST WARD,7
122,149,1,2,1,1,45,Entire home/apt,Entire condo,SIXTH WARD,1
123,84.47,1,2,1,1,51,Entire home/apt,Entire rental unit,ELEVENTH WARD,31
124,436,2,4,2,2,62,Entire home/apt,Entire condo,SECOND WARD,2
125,290,5,7,3,1,44,Entire home/apt,Entire guest suite,THIRTEENTH WARD,2
126,145.33,1,2,1,1,42,Entire home/apt,Entire rental unit,THIRTEENTH WARD,3
127,231.54,1,2,1,1,33,Entire home/apt,Entire rental unit,SECOND WARD,13
128,227.5,2,4,2,1,49,Entire home/apt,Entire rental unit,THIRTEENTH WARD,2
129,155,1,4,1,1,49,Entire home/apt,Entire rental unit,THIRD WARD,1
130,29.87,1,1,1,1,13,Private room,Private room in rental unit,SIXTH WARD,30
131,403,4,6,4,1,49,Entire home/apt,Entire rental unit,TENTH WARD,1
132,86,1,1,1,1,49,Private room,Private room in home,NINTH WARD,2
133,147,1,2,1,1,48,Entire home/apt,Entire rental unit,SEVENTH WARD,2
134,55.4,2,1,1,1,45,Private room,Private room in rental unit,SIXTH WARD,20
135,103.6,1,2,1,1,42,Entire home/apt,Entire rental unit,SIXTH WARD,7
136,249,2,4,2,1,38,Entire home/apt,Entire rental unit,THIRTEENTH WARD,2
137,183,1,4,1,1,16,Entire home/apt,Entire rental unit,SIXTH WARD,1
138,115,1,1,1,1,63,Private room,Private room in home,TENTH WARD,1
139,91.4,1,2,1,1,37,Entire home/apt,Entire rental unit,FOURTEENTH WARD,4
140,78,1,1,1,2,13,Private room,Private room in home,FOURTEENTH WARD,1
141,81.47,1,2,1,1,28,Entire home/apt,Entire rental unit,THIRD WARD,30
142,86.95,1,2,1,1,35,Entire home/apt,Entire rental unit,SIXTH WARD,30
143,148.5,1,4,1,1,53,Entire home/apt,Entire rental unit,FIFTH WARD,2
144,292.14,4,8,3,2,54,Entire home/apt,Entire home,FOURTEENTH WARD,1
145,137.33,3,6,3,1,45,Entire home/apt,Entire rental unit,FIFTH WARD,1
146,840,8,15,7,7,56,Shared room,Shared room in bed and breakfast,NINTH WARD,1
147,167,1,2,1,1,36,Private room,Private room in bed and breakfast,NINTH WARD,1
148,68.5,1,2,1,1,38,Private room,Private room in home,TENTH WARD,2
149,190,1,2,1,1,38,Private room,Private room in bed and breakfast,SIXTH WARD,1
151,179,2,2,1,1,41,Private room,Private room in bed and breakfast,NINTH WARD,1
152,167,1,2,1,1,46,Private room,Private room in bed and breakfast,NINTH WARD,1
153,109.83,2,4,2,1,30,Entire home/apt,Entire rental unit,NINTH WARD,30
154,62.8,1,2,1,1,38,Private room,Private room in rental unit,THIRTEENTH WARD,5
155,153,1,2,1,1,15,Entire home/apt,Entire rental unit,SIXTH WARD,1
156,13.25,1,1,1,1,40,Private room,Private room in home,FOURTEENTH WARD,90
157,236,2,5,2,1,41,Entire home/apt,Entire rental unit,NINTH WARD,1
158,363,5,9,5,2,55,Entire home/apt,Entire home,FIFTEENTH WARD,2
159,137,2,4,2,1,9,Entire home/apt,Entire rental unit,SIXTH WARD,3
160,137,2,4,2,1,17,Entire home/apt,Entire rental unit,SIXTH WARD,3
161,113.64,2,4,3,1,15,Entire home/apt,Entire rental unit,SIXTH WARD,14
162,587,5,8,4,2,71,Entire home/apt,Entire home,FIRST WARD,1
163,266,3,7,3,2,36,Entire home/apt,Entire rental unit,TWELFTH WARD,2
164,236,1,3,2,2,32,Entire home/apt,Entire rental unit,SIXTH WARD,3
165,160,2,3,1,1,73,Private room,Private room in townhouse,SECOND WARD,1
166,97,1,1,1,1.5,49,Private room,Private room in home,THIRTEENTH WARD,4
167,137,1,2,1,1,43,Entire home/apt,Entire rental unit,THIRD WARD,3
168,13.18,1,1,1,1,36,Private room,Private room in home,FOURTEENTH WARD,90
169,144,1,2,1,1,32,Entire home/apt,Entire rental unit,SIXTH WARD,1
170,123.5,1,3,1,1,30,Entire home/apt,Entire rental unit,TENTH WARD,1
171,48.71,2,1,1,1,39,Private room,Private room in rental unit,THIRD WARD,7
172,50.29,1,1,1,1.5,26,Private room,Private room in rental unit,THIRD WARD,7
173,190,3,5,2,1,41,Entire home/apt,Entire rental unit,THIRD WARD,2
174,307.08,7,13,5,2,55,Entire home/apt,Entire home,TENTH WARD,2
175,257,2,5,2,1,49,Entire home/apt,Entire rental unit,SEVENTH WARD,1
176,46.39,1,1,1,1,46,Private room,Private room in home,TENTH WARD,30
177,196.28,2,5,2,2,57,Entire home/apt,Entire rental unit,THIRTEENTH WARD,1
178,300.36,4,8,4,1,54,Entire home/apt,Entire home,TENTH WARD,1
179,72.53,3,2,1,1,44,Entire home/apt,Entire rental unit,FOURTEENTH WARD,28
180,92,1,1,1,1,60,Private room,Private room in home,TENTH WARD,1
181,107,1,2,1,1,6,Private room,Private room in rental unit,FIFTH WARD,1
182,102.54,1,2,1,1,34,Entire home/apt,Entire rental unit,THIRD WARD,7
184,171.5,2,4,2,1,43,Entire home/apt,Entire rental unit,THIRTEENTH WARD,2
185,167,1,2,1,1,33,Private room,Private room in bed and breakfast,SIXTH WARD,1
186,174,1,2,1,1,17,Private room,Room in hotel,SIXTH WARD,1
187,174,1,2,1,1,23,Private room,Room in hotel,TENTH WARD,1
189,174,1,2,1,1,22,Private room,Room in hotel,SIXTH WARD,1
190,292,1,2,1,1,25,Private room,Room in hotel,SIXTH WARD,1
191,280,1,2,1,1,14,Private room,Room in hotel,TENTH WARD,1
192,241,1,2,1,1,22,Private room,Room in hotel,SIXTH WARD,1
194,241,1,2,1,1,25,Private room,Room in hotel,TENTH WARD,1
195,331,1,2,1,1,26,Private room,Room in hotel,SIXTH WARD,1
196,431,4,6,3,2,42,Entire home/apt,Entire guesthouse,TENTH WARD,1
197,75.6,1,1,1,1,43,Private room,Private room in home,ELEVENTH WARD,5
198,61.4,1,1,1,1,36,Private room,Private room in home,THIRTEENTH WARD,5
199,71.8,1,2,1,2,34,Private room,Private room in home,ELEVENTH WARD,5
200,287,2,4,2,1,46,Entire home/apt,Entire rental unit,SIXTH WARD,1
202,184,1,2,1,1,39,Entire home/apt,Entire rental unit,SIXTH WARD,1
204,160.17,2,4,2,1,53,Entire home/apt,Entire rental unit,FIFTEENTH WARD,3
205,90,1,2,1,4,53,Private room,Private room in home,FOURTEENTH WARD,1
206,177,3,2,2,1,53,Entire home/apt,Entire rental unit,SIXTH WARD,1
